R,I,B_bar
-10.92248773,-10.92248773,0.298192475
-10.42248773,-10.92248773,0.304171405
-9.922487728,-10.92248773,0.317046641
-9.422487728,-10.92248773,0.343198287
-8.922487728,-10.92248773,0.39301423
-8.422487728,-10.92248773,0.478983551
-7.922487728,-10.92248773,0.60504539
-7.422487728,-10.92248773,0.753909603
-6.922487728,-10.92248773,0.896791234
-6.422487728,-10.92248773,1.019303013
-5.922487728,-10.92248773,1.128003876
-5.422487728,-10.92248773,1.237039236
-4.922487728,-10.92248773,1.35638653
-4.422487728,-10.92248773,1.488514861
-3.922487728,-10.92248773,1.6291785
-3.422487728,-10.92248773,1.768344515
-2.922487728,-10.92248773,1.889722236
-2.422487728,-10.92248773,1.968448079
-1.922487728,-10.92248773,1.966586691
-1.422487728,-10.92248773,1.826540449
-0.922487728,-10.92248773,1.46799427
-10.92248773,-10.42248773,0.700956291
-10.42248773,-10.42248773,0.714985651
-9.922487728,-10.42248773,0.745184981
-9.422487728,-10.42248773,0.806470684
-8.922487728,-10.42248773,0.922990496
-8.422487728,-10.42248773,1.123295159
-7.922487728,-10.42248773,1.414878121
-7.422487728,-10.42248773,1.754829885
-6.922487728,-10.42248773,2.074586023
-6.422487728,-10.42248773,2.342068764
-5.922487728,-10.42248773,2.576124014
-5.422487728,-10.42248773,2.813334799
-4.922487728,-10.42248773,3.079449871
-4.422487728,-10.42248773,3.38150928
-3.922487728,-10.42248773,3.71003405
-3.422487728,-10.42248773,4.041504004
-2.922487728,-10.42248773,4.337406012
-2.422487728,-10.42248773,4.538791294
-1.922487728,-10.42248773,4.555526002
-1.422487728,-10.42248773,4.250368213
-0.922487728,-10.42248773,3.430922009
-10.92248773,-9.922487728,1.51102544
-10.42248773,-9.922487728,1.541223576
-9.922487728,-9.922487728,1.606204894
-9.422487728,-9.922487728,1.73797235
-8.922487728,-9.922487728,1.988062125
-8.422487728,-9.922487728,2.416434433
-7.922487728,-9.922487728,3.035680385
-7.422487728,-9.922487728,3.74858107
-6.922487728,-9.922487728,4.405271269
-6.422487728,-9.922487728,4.940057678
-5.922487728,-9.922487728,5.40075501
-5.422487728,-9.922487728,5.873373211
-4.922487728,-9.922487728,6.418380158
-4.422487728,-9.922487728,7.053558189
-3.922487728,-9.922487728,7.75937256
-3.422487728,-9.922487728,8.484949153
-2.922487728,-9.922487728,9.146376251
-2.422487728,-9.922487728,9.615007997
-1.922487728,-9.922487728,9.693999398
-1.422487728,-9.922487728,9.083253533
-0.922487728,-9.922487728,7.360722165
-10.92248773,-9.422487728,2.957774513
-10.42248773,-9.422487728,3.016841884
-9.922487728,-9.422487728,3.143913975
-9.422487728,-9.422487728,3.401438309
-8.922487728,-9.422487728,3.88954954
-8.422487728,-9.422487728,4.72312054
-7.922487728,-9.422487728,5.920716496
-7.422487728,-9.422487728,7.283316513
-6.922487728,-9.422487728,8.51312809
-6.422487728,-9.422487728,9.487568319
-5.922487728,-9.422487728,10.31395727
-5.422487728,-9.422487728,11.17463057
-4.922487728,-9.422487728,12.19748053
-4.422487728,-9.422487728,13.42175957
-3.922487728,-9.422487728,14.80980642
-3.422487728,-9.422487728,16.26006496
-2.922487728,-9.422487728,17.60456403
-2.422487728,-9.422487728,18.58625616
-1.922487728,-9.422487728,18.8128832
-1.422487728,-9.422487728,17.68781389
-0.922487728,-9.422487728,14.37296333
-10.92248773,-8.922487728,5.185200112
-10.42248773,-8.922487728,5.288801406
-9.922487728,-8.922487728,5.511665178
-9.422487728,-8.922487728,5.963222951
-8.922487728,-8.922487728,6.818506319
-8.422487728,-8.922487728,8.276240811
-7.922487728,-8.922487728,10.36065449
-7.422487728,-8.922487728,12.7085938
-6.922487728,-8.922487728,14.78893397
-6.422487728,-8.922487728,16.39591353
-5.922487728,-8.922487728,17.74199641
-5.422487728,-8.922487728,19.17212014
-4.922487728,-8.922487728,20.92668438
-4.422487728,-8.922487728,23.07974933
-3.922487728,-8.922487728,25.56189762
-3.422487728,-8.922487728,28.18583553
-2.922487728,-8.922487728,30.64385944
-2.422487728,-8.922487728,32.46920023
-1.922487728,-8.922487728,32.95593975
-1.422487728,-8.922487728,31.03960883
-0.922487728,-8.922487728,25.23805732
-10.92248773,-8.422487728,8.037057565
-10.42248773,-8.422487728,8.197983023
-9.922487728,-8.422487728,8.544219178
-9.422487728,-8.422487728,9.245928582
-8.922487728,-8.422487728,10.57524009
-8.422487728,-8.422487728,12.83946405
-7.922487728,-8.422487728,16.0674101
-7.422487728,-8.422487728,19.6749287
-6.922487728,-8.422487728,22.82122766
-6.422487728,-8.422487728,25.20009264
-5.922487728,-8.422487728,27.18238424
-5.422487728,-8.422487728,29.34642798
-4.922487728,-8.422487728,32.08972771
-4.422487728,-8.422487728,35.52878488
-3.922487728,-8.422487728,39.53929667
-3.422487728,-8.422487728,43.80197327
-2.922487728,-8.422487728,47.80324775
-2.422487728,-8.422487728,50.77878693
-1.922487728,-8.422487728,51.59348542
-1.422487728,-8.422487728,48.56531068
-0.922487728,-8.422487728,39.39663113
-10.92248773,-7.922487728,11.00269946
-10.42248773,-7.922487728,11.22377268
-9.922487728,-7.922487728,11.69959252
-9.422487728,-7.922487728,12.66455473
-8.922487728,-7.922487728,14.49420272
-8.422487728,-7.922487728,17.61240672
-7.922487728,-7.922487728,22.0507517
-7.422487728,-7.922487728,26.97770725
-6.922487728,-7.922487728,31.21084407
-6.422487728,-7.922487728,34.34870971
-5.922487728,-7.922487728,36.96891773
-5.422487728,-7.922487728,39.93691082
-4.922487728,-7.922487728,43.83363024
-4.422487728,-7.922487728,48.81014092
-3.922487728,-7.922487728,54.65300195
-3.422487728,-7.922487728,60.86055675
-2.922487728,-7.922487728,66.65455255
-2.422487728,-7.922487728,70.91108058
-1.922487728,-7.922487728,72.00632816
-1.422487728,-7.922487728,67.59523463
-0.922487728,-7.922487728,54.56448308
-10.92248773,-7.422487728,13.54496038
-10.42248773,-7.422487728,13.81813394
-9.922487728,-7.422487728,14.40633117
-9.422487728,-7.422487728,15.60007657
-8.922487728,-7.422487728,17.86590353
-8.422487728,-7.422487728,21.73084144
-7.922487728,-7.422487728,27.22706988
-7.422487728,-7.422487728,33.2817504
-6.922487728,-7.422487728,38.37907007
-6.422487728,-7.422487728,42.05048574
-5.922487728,-7.422487728,45.12086543
-5.422487728,-7.422487728,48.77776384
-4.922487728,-7.422487728,53.7943501
-4.422487728,-7.422487728,60.33641104
-3.922487728,-7.422487728,68.06454911
-3.422487728,-7.422487728,76.25509657
-2.922487728,-7.422487728,83.83479968
-2.422487728,-7.422487728,89.31031218
-1.922487728,-7.422487728,90.59329909
-1.422487728,-7.422487728,84.75486361
-0.922487728,-7.422487728,68.02846353
-10.92248773,-6.922487728,15.44109657
-10.42248773,-6.922487728,15.75342397
-9.922487728,-6.922487728,16.42611832
-9.422487728,-6.922487728,17.79200971
-8.922487728,-6.922487728,20.38610283
-8.422487728,-6.922487728,24.81170702
-7.922487728,-6.922487728,31.09525549
-7.422487728,-6.922487728,37.96569726
-6.922487728,-6.922487728,43.56883919
-6.422487728,-6.922487728,47.35953175
-5.922487728,-6.922487728,50.47362158
-5.422487728,-6.922487728,54.46753444
-4.922487728,-6.922487728,60.32504971
-4.422487728,-6.922487728,68.21465927
-3.922487728,-6.922487728,77.64617302
-3.422487728,-6.922487728,87.65547901
-2.922487728,-6.922487728,96.876276
-2.422487728,-6.922487728,103.4792191
-1.922487728,-6.922487728,104.9847768
-1.422487728,-6.922487728,98.01326583
-0.922487728,-6.922487728,78.33804808
-10.92248773,-6.422487728,16.74967635
-10.42248773,-6.422487728,17.08901648
-9.922487728,-6.422487728,17.81993764
-9.422487728,-6.422487728,19.30410532
-8.922487728,-6.422487728,22.12215415
-8.422487728,-6.422487728,26.924486
-7.922487728,-6.422487728,33.72152489
-7.422487728,-6.422487728,41.09294453
-6.922487728,-6.422487728,46.93860621
-6.422487728,-6.422487728,50.41311739
-5.922487728,-6.422487728,52.94591659
-5.422487728,-6.422487728,56.67786609
-4.922487728,-6.422487728,62.87057259
-4.422487728,-6.422487728,71.70748604
-3.922487728,-6.422487728,82.53695812
-3.422487728,-6.422487728,94.14865513
-2.922487728,-6.422487728,104.8969261
-2.422487728,-6.422487728,112.6551479
-1.922487728,-6.422487728,114.6266188
-1.422487728,-6.422487728,107.0826571
-0.922487728,-6.422487728,85.46514703
-10.92248773,-5.922487728,17.62158235
-10.42248773,-5.922487728,17.97866421
-9.922487728,-5.922487728,18.74766164
-9.422487728,-5.922487728,20.30841878
-8.922487728,-5.922487728,23.26849651
-8.422487728,-5.922487728,28.30023126
-7.922487728,-5.922487728,35.38735525
-7.422487728,-5.922487728,42.99987627
-6.922487728,-5.922487728,48.89035924
-6.422487728,-5.922487728,52.03368004
-5.922487728,-5.922487728,53.38079722
-5.422487728,-5.922487728,55.88979576
-4.922487728,-5.922487728,61.64926366
-4.422487728,-5.922487728,70.88389324
-3.922487728,-5.922487728,82.75709473
-3.422487728,-5.922487728,95.7911472
-2.922487728,-5.922487728,108.0580649
-2.422487728,-5.922487728,117.1519031
-1.922487728,-5.922487728,119.9936831
-1.422487728,-5.922487728,112.5595599
-0.922487728,-5.922487728,90.00840215
-10.92248773,-5.422487728,18.19279109
-10.42248773,-5.422487728,18.56104678
-9.922487728,-5.422487728,19.35377841
-9.422487728,-5.422487728,20.96119096
-8.922487728,-5.422487728,24.00364497
-8.422487728,-5.422487728,29.15577474
-7.922487728,-5.422487728,36.36584517
-7.422487728,-5.422487728,44.02530202
-6.922487728,-5.422487728,49.81109624
-6.422487728,-5.422487728,52.64091229
-5.922487728,-5.422487728,53.23222332
-5.422487728,-5.422487728,53.5285179
-4.922487728,-5.422487728,57.43068561
-4.422487728,-5.422487728,66.20948884
-3.922487728,-5.422487728,78.67507765
-3.422487728,-5.422487728,92.97395416
-2.922487728,-5.422487728,106.8396722
-2.422487728,-5.422487728,117.5630985
-1.922487728,-5.422487728,121.7780938
-1.422487728,-5.422487728,115.1688779
-0.922487728,-5.422487728,92.60171609
-10.92248773,-4.922487728,18.55922705
-10.42248773,-4.922487728,18.93402455
-9.922487728,-4.922487728,19.74032325
-9.422487728,-4.922487728,21.37297326
-8.922487728,-4.922487728,24.45456058
-8.422487728,-4.922487728,29.64710684
-7.922487728,-4.922487728,36.85712876
-7.422487728,-4.922487728,44.42253559
-6.922487728,-4.922487728,49.99844406
-6.422487728,-4.922487728,52.50668184
-5.922487728,-4.922487728,52.6127012
-5.422487728,-4.922487728,51.82908125
-4.922487728,-4.922487728,52.21092549
-4.422487728,-4.922487728,58.5473382
-3.922487728,-4.922487728,70.75668666
-3.422487728,-4.922487728,86.06053125
-2.922487728,-4.922487728,101.6286312
-2.422487728,-4.922487728,114.3456862
-1.922487728,-4.922487728,120.5024917
-1.422487728,-4.922487728,115.4501246
-0.922487728,-4.922487728,93.70863875
-10.92248773,-4.422487728,18.7817754
-10.42248773,-4.422487728,19.15970001
-9.922487728,-4.422487728,19.97202641
-9.422487728,-4.422487728,21.61387476
-8.922487728,-4.422487728,24.70181985
-8.422487728,-4.422487728,29.87369195
-7.922487728,-4.422487728,36.99012282
-7.422487728,-4.422487728,44.3565976
-6.922487728,-4.422487728,49.64810575
-6.422487728,-4.422487728,51.82830505
-5.922487728,-4.422487728,51.5594178
-5.422487728,-4.422487728,50.23362177
-4.922487728,-4.422487728,49.23347545
-4.422487728,-4.422487728,50.45265485
-3.922487728,-4.422487728,59.7950732
-3.422487728,-4.422487728,75.33253722
-2.922487728,-4.422487728,92.58437927
-2.422487728,-4.422487728,107.6776857
-1.922487728,-4.422487728,116.4057592
-1.422487728,-4.422487728,113.6880745
-0.922487728,-4.422487728,93.59966747
-10.92248773,-3.922487728,18.89579821
-10.42248773,-3.922487728,19.27409944
-9.922487728,-3.922487728,20.08634288
-9.422487728,-3.922487728,21.72426486
-8.922487728,-3.922487728,24.79148325
-8.422487728,-3.922487728,29.89204939
-7.922487728,-3.922487728,36.83812393
-7.422487728,-3.922487728,43.92174532
-6.922487728,-3.922487728,48.87200052
-6.422487728,-3.922487728,50.72005879
-5.922487728,-3.922487728,50.14161237
-5.422487728,-3.922487728,48.4680399
-4.922487728,-3.922487728,46.898781
-4.422487728,-3.922487728,46.41923964
-3.922487728,-3.922487728,48.85027255
-3.422487728,-3.922487728,61.38111726
-2.922487728,-3.922487728,79.69668689
-2.422487728,-3.922487728,97.43853764
-1.922487728,-3.922487728,109.4208051
-1.422487728,-3.922487728,109.91171
-0.922487728,-3.922487728,92.37188067
-10.92248773,-3.422487728,18.91785863
-10.42248773,-3.422487728,19.29401182
-9.922487728,-3.422487728,20.10053437
-9.422487728,-3.422487728,21.72233579
-8.922487728,-3.422487728,24.74353678
-8.422487728,-3.422487728,29.7256543
-7.922487728,-3.422487728,36.43084514
-7.422487728,-3.422487728,43.15620653
-6.922487728,-3.422487728,47.71552239
-6.422487728,-3.422487728,49.22689346
-5.922487728,-3.422487728,48.38414869
-5.422487728,-3.422487728,46.47053337
-4.922487728,-3.422487728,44.58634265
-4.422487728,-3.422487728,43.49801769
-3.922487728,-3.422487728,43.89269847
-3.422487728,-3.422487728,47.66812716
-2.922487728,-3.422487728,63.24697347
-2.422487728,-3.422487728,83.27776962
-1.922487728,-3.422487728,99.16149407
-1.422487728,-3.422487728,103.8814448
-0.922487728,-3.422487728,89.95509057
-10.92248773,-2.922487728,18.8481714
-10.42248773,-2.922487728,19.21945719
-9.922487728,-2.922487728,20.01417359
-9.422487728,-2.922487728,21.60667356
-8.922487728,-2.922487728,24.55459056
-8.422487728,-2.922487728,29.3679243
-7.922487728,-2.922487728,35.75809108
-7.422487728,-2.922487728,42.04719548
-6.922487728,-2.922487728,46.16430316
-6.422487728,-2.922487728,47.33119045
-5.922487728,-2.922487728,46.25851793
-5.422487728,-2.922487728,44.17846259
-4.922487728,-2.922487728,42.11167566
-4.422487728,-2.922487728,40.71532009
-3.922487728,-2.922487728,40.43598571
-3.422487728,-2.922487728,41.81959035
-2.922487728,-2.922487728,46.93201364
-2.422487728,-2.922487728,65.06113006
-1.922487728,-2.922487728,84.93047074
-1.422487728,-2.922487728,95.03209617
-0.922487728,-2.922487728,86.07996091
-10.92248773,-2.422487728,18.66740207
-10.42248773,-2.422487728,19.03035954
-9.922487728,-2.422487728,19.80554239
-9.422487728,-2.422487728,21.35209614
-8.922487728,-2.422487728,24.19268317
-8.422487728,-2.422487728,28.77543798
-7.922487728,-2.422487728,34.76121858
-7.422487728,-2.422487728,40.52128332
-6.922487728,-2.422487728,44.13463624
-6.422487728,-2.422487728,44.94348491
-5.922487728,-2.422487728,43.66973392
-5.422487728,-2.422487728,41.48307892
-4.922487728,-2.422487728,39.32370412
-4.422487728,-2.422487728,37.76799741
-3.922487728,-2.422487728,37.15492783
-3.422487728,-2.422487728,37.77088001
-2.922487728,-2.422487728,40.12307959
-2.422487728,-2.422487728,46.44806791
-1.922487728,-2.422487728,66.05657713
-1.422487728,-2.422487728,82.37338695
-0.922487728,-2.422487728,80.17967255
-10.92248773,-1.922487728,18.32246255
-10.42248773,-1.922487728,18.67192324
-9.922487728,-1.922487728,19.41610587
-9.422487728,-1.922487728,20.89231223
-8.922487728,-1.922487728,23.5766162
-8.422487728,-1.922487728,27.84207491
-7.922487728,-1.922487728,33.3009891
-7.422487728,-1.922487728,38.406983
-6.922487728,-1.922487728,41.4336069
-6.422487728,-1.922487728,41.86274678
-5.922487728,-1.922487728,40.41686833
-5.422487728,-1.922487728,38.18330649
-4.922487728,-1.922487728,36.00965126
-4.422487728,-1.922487728,34.39577939
-3.922487728,-1.922487728,33.60967825
-3.422487728,-1.922487728,33.83210076
-2.922487728,-1.922487728,35.29113806
-2.422487728,-1.922487728,38.48662944
-1.922487728,-1.922487728,45.70131036
-1.422487728,-1.922487728,64.58345714
-0.922487728,-1.922487728,71.17263705
-10.92248773,-1.422487728,17.68042514
-10.42248773,-1.422487728,18.00731425
-9.922487728,-1.422487728,18.70056148
-9.422487728,-1.422487728,20.06475282
-8.922487728,-1.422487728,22.51142125
-8.422487728,-1.422487728,26.32015588
-7.922487728,-1.422487728,31.06161875
-7.422487728,-1.422487728,35.32450219
-6.922487728,-1.422487728,37.64211587
-6.422487728,-1.422487728,37.66045822
-5.922487728,-1.422487728,36.08245579
-5.422487728,-1.422487728,33.87950253
-4.922487728,-1.422487728,31.78219328
-4.422487728,-1.422487728,30.20516079
-3.922487728,-1.422487728,29.35483663
-3.422487728,-1.422487728,29.35000159
-2.922487728,-1.422487728,30.31262971
-2.422487728,-1.422487728,32.44821504
-1.922487728,-1.422487728,36.20275566
-1.422487728,-1.422487728,43.53370058
-0.922487728,-1.422487728,57.13606861
-10.92248773,-0.922487728,16.35213795
-10.42248773,-0.922487728,16.63704429
-9.922487728,-0.922487728,17.23729805
-9.422487728,-0.922487728,18.40371335
-8.922487728,-0.922487728,20.45145137
-8.422487728,-0.922487728,23.53961404
-7.922487728,-0.922487728,27.22053848
-7.422487728,-0.922487728,30.31769228
-6.922487728,-0.922487728,31.73343744
-6.422487728,-0.922487728,31.30930688
-5.922487728,-0.922487728,29.68477093
-5.422487728,-0.922487728,27.65189202
-4.922487728,-0.922487728,25.77773284
-4.422487728,-0.922487728,24.36860578
-3.922487728,-0.922487728,23.56528933
-3.422487728,-0.922487728,23.43856646
-2.922487728,-0.922487728,24.05377054
-2.422487728,-0.922487728,25.51114191
-1.922487728,-0.922487728,27.9722383
-1.422487728,-0.922487728,31.67818697
-0.922487728,-0.922487728,37.36908459
